id,title,full_question,difficulty,topic,companies
737,Reverse Linked List,"Given the head of a singly linked list, reverse the list and return the reversed list. You must reverse the nodes themselves and not just the values.",Easy,Linked List,"Uber, Wipro"
738,N-Queens,"The n-queens puzzle is the problem of placing n queens on an n×n chessboard such that no two queens attack each other. Given an integer n, return all distinct solutions to the puzzle.",Hard,Backtracking,Microsoft
739,Trapping Rain Water,"Given n non-negative integers representing an elevation map where the width of each bar is 1, compute how much water it can trap after raining.",Easy,Arrays,"Microsoft, Wipro, TCS"
740,Kth Largest Element in an Array,"Given an integer array nums and an integer k, return the kth largest element in the array. Note that it is the kth largest element in sorted order, not the kth distinct element.",Medium,Heap & Priority Queue,Meta
741,N-Queens,"The n-queens puzzle is the problem of placing n queens on an n×n chessboard such that no two queens attack each other. Given an integer n, return all distinct solutions to the puzzle.",Easy,Backtracking,Google
742,Coin Change,"You are given an integer array coins representing coins of different denominations and an integer amount. Return the fewest number of coins needed to make up that amount. If that amount cannot be made up, return -1.",Hard,Dynamic Programming,Google
743,LRU Cache,Design a data structure that follows the constraints of a Least Recently Used (LRU) cache. Implement the LRUCache class with get and put operations in O(1) average time complexity.,Hard,HashMap,"Uber, PayPal, Wipro"
744,LRU Cache,Design a data structure that follows the constraints of a Least Recently Used (LRU) cache. Implement the LRUCache class with get and put operations in O(1) average time complexity.,Hard,HashMap,"Oracle, Google, Meta"
745,Valid Parentheses,"Given a string s containing just the characters '(', ')', '{', '}', '[' and ']', determine if the input string is valid. An input string is valid if open brackets are closed by the same type of brackets and in the correct order.",Hard,Stack & Queue,"Flipkart, Wipro"
746,Number of Islands,"Given an m x n 2D binary grid which represents a map of '1's (land) and '0's (water), return the number of islands. An island is surrounded by water and is formed by connecting adjacent lands horizontally or vertically.",Easy,Graphs,"Oracle, Adobe, TCS"
747,Trapping Rain Water,"Given n non-negative integers representing an elevation map where the width of each bar is 1, compute how much water it can trap after raining.",Medium,Arrays,Microsoft
748,Trapping Rain Water,"Given n non-negative integers representing an elevation map where the width of each bar is 1, compute how much water it can trap after raining.",Hard,Arrays,"Microsoft, Goldman Sachs, Amazon"
749,Binary Tree Level Order Traversal,"Given the root of a binary tree, return the level order traversal of its nodes' values (i.e., from left to right, level by level).",Hard,Trees,"Uber, TCS"
750,N-Queens,"The n-queens puzzle is the problem of placing n queens on an n×n chessboard such that no two queens attack each other. Given an integer n, return all distinct solutions to the puzzle.",Easy,Backtracking,"Microsoft, Adobe"
751,Reverse Linked List,"Given the head of a singly linked list, reverse the list and return the reversed list. You must reverse the nodes themselves and not just the values.",Medium,Linked List,"PayPal, Amazon, Goldman Sachs"
752,Binary Tree Level Order Traversal,"Given the root of a binary tree, return the level order traversal of its nodes' values (i.e., from left to right, level by level).",Hard,Trees,PayPal
753,Number of Islands,"Given an m x n 2D binary grid which represents a map of '1's (land) and '0's (water), return the number of islands. An island is surrounded by water and is formed by connecting adjacent lands horizontally or vertically.",Hard,Graphs,"Apple, Meta, Wipro"
754,Trapping Rain Water,"Given n non-negative integers representing an elevation map where the width of each bar is 1, compute how much water it can trap after raining.",Easy,Arrays,Infosys
755,Valid Parentheses,"Given a string s containing just the characters '(', ')', '{', '}', '[' and ']', determine if the input string is valid. An input string is valid if open brackets are closed by the same type of brackets and in the correct order.",Medium,Stack & Queue,"PayPal, Google"
756,Kth Largest Element in an Array,"Given an integer array nums and an integer k, return the kth largest element in the array. Note that it is the kth largest element in sorted order, not the kth distinct element.",Hard,Heap & Priority Queue,"Oracle, Infosys, Wipro"
757,Coin Change,"You are given an integer array coins representing coins of different denominations and an integer amount. Return the fewest number of coins needed to make up that amount. If that amount cannot be made up, return -1.",Easy,Dynamic Programming,"Meta, Flipkart, Infosys"
758,N-Queens,"The n-queens puzzle is the problem of placing n queens on an n×n chessboard such that no two queens attack each other. Given an integer n, return all distinct solutions to the puzzle.",Hard,Backtracking,"Meta, Google, PayPal"
759,Reverse Linked List,"Given the head of a singly linked list, reverse the list and return the reversed list. You must reverse the nodes themselves and not just the values.",Hard,Linked List,TCS
760,Longest Substring Without Repeating Characters,"Given a string s, find the length of the longest substring without repeating characters. A substring is a contiguous sequence of characters within a string.",Easy,Strings,"Oracle, Infosys"
761,LRU Cache,Design a data structure that follows the constraints of a Least Recently Used (LRU) cache. Implement the LRUCache class with get and put operations in O(1) average time complexity.,Medium,HashMap,"Google, Adobe"
762,LRU Cache,Design a data structure that follows the constraints of a Least Recently Used (LRU) cache. Implement the LRUCache class with get and put operations in O(1) average time complexity.,Easy,HashMap,"Flipkart, Uber"
763,Two Sum,"Given an array of integers nums and an integer target, return indices of the two numbers such that they add up to target. You may assume that each input would have exactly one solution, and you may not use the same element twice. Return the answer in any order.",Hard,Arrays,"PayPal, Apple"
764,Two Sum,"Given an array of integers nums and an integer target, return indices of the two numbers such that they add up to target. You may assume that each input would have exactly one solution, and you may not use the same element twice. Return the answer in any order.",Easy,Arrays,"Apple, TCS, Adobe"
765,Trapping Rain Water,"Given n non-negative integers representing an elevation map where the width of each bar is 1, compute how much water it can trap after raining.",Medium,Arrays,"Goldman Sachs, Oracle"
766,Binary Tree Level Order Traversal,"Given the root of a binary tree, return the level order traversal of its nodes' values (i.e., from left to right, level by level).",Hard,Trees,"Goldman Sachs, Flipkart"
767,Search in Rotated Sorted Array,"There is an integer array nums sorted in ascending order (with distinct values), but possibly rotated at an unknown pivot index. Given the array nums and an integer target, return the index of target if it is in nums, or -1 otherwise.",Medium,Binary Search,"TCS, Flipkart"
768,Reverse Linked List,"Given the head of a singly linked list, reverse the list and return the reversed list. You must reverse the nodes themselves and not just the values.",Easy,Linked List,"Google, Microsoft"
769,LRU Cache,Design a data structure that follows the constraints of a Least Recently Used (LRU) cache. Implement the LRUCache class with get and put operations in O(1) average time complexity.,Medium,HashMap,"Microsoft, TCS"
770,Trapping Rain Water,"Given n non-negative integers representing an elevation map where the width of each bar is 1, compute how much water it can trap after raining.",Hard,Arrays,PayPal
771,Search in Rotated Sorted Array,"There is an integer array nums sorted in ascending order (with distinct values), but possibly rotated at an unknown pivot index. Given the array nums and an integer target, return the index of target if it is in nums, or -1 otherwise.",Hard,Binary Search,"Goldman Sachs, Wipro"
772,Longest Substring Without Repeating Characters,"Given a string s, find the length of the longest substring without repeating characters. A substring is a contiguous sequence of characters within a string.",Hard,Strings,"PayPal, Microsoft, Google"
773,Coin Change,"You are given an integer array coins representing coins of different denominations and an integer amount. Return the fewest number of coins needed to make up that amount. If that amount cannot be made up, return -1.",Hard,Dynamic Programming,"Goldman Sachs, Google, Wipro"
774,Longest Substring Without Repeating Characters,"Given a string s, find the length of the longest substring without repeating characters. A substring is a contiguous sequence of characters within a string.",Easy,Strings,"Apple, Oracle, Meta"
775,Trapping Rain Water,"Given n non-negative integers representing an elevation map where the width of each bar is 1, compute how much water it can trap after raining.",Hard,Arrays,Adobe
776,Reverse Linked List,"Given the head of a singly linked list, reverse the list and return the reversed list. You must reverse the nodes themselves and not just the values.",Easy,Linked List,"Google, TCS, Infosys"
777,Two Sum,"Given an array of integers nums and an integer target, return indices of the two numbers such that they add up to target. You may assume that each input would have exactly one solution, and you may not use the same element twice. Return the answer in any order.",Medium,Arrays,"Meta, Wipro, Uber"
778,Number of Islands,"Given an m x n 2D binary grid which represents a map of '1's (land) and '0's (water), return the number of islands. An island is surrounded by water and is formed by connecting adjacent lands horizontally or vertically.",Easy,Graphs,"Oracle, Microsoft, Flipkart"
779,Kth Largest Element in an Array,"Given an integer array nums and an integer k, return the kth largest element in the array. Note that it is the kth largest element in sorted order, not the kth distinct element.",Hard,Heap & Priority Queue,"Microsoft, Apple, PayPal"
780,Coin Change,"You are given an integer array coins representing coins of different denominations and an integer amount. Return the fewest number of coins needed to make up that amount. If that amount cannot be made up, return -1.",Medium,Dynamic Programming,"Meta, PayPal"
781,Number of Islands,"Given an m x n 2D binary grid which represents a map of '1's (land) and '0's (water), return the number of islands. An island is surrounded by water and is formed by connecting adjacent lands horizontally or vertically.",Medium,Graphs,Meta
782,N-Queens,"The n-queens puzzle is the problem of placing n queens on an n×n chessboard such that no two queens attack each other. Given an integer n, return all distinct solutions to the puzzle.",Medium,Backtracking,Oracle
783,N-Queens,"The n-queens puzzle is the problem of placing n queens on an n×n chessboard such that no two queens attack each other. Given an integer n, return all distinct solutions to the puzzle.",Medium,Backtracking,"Google, Wipro, Amazon"
784,Valid Parentheses,"Given a string s containing just the characters '(', ')', '{', '}', '[' and ']', determine if the input string is valid. An input string is valid if open brackets are closed by the same type of brackets and in the correct order.",Medium,Stack & Queue,"Microsoft, Uber"
785,Valid Parentheses,"Given a string s containing just the characters '(', ')', '{', '}', '[' and ']', determine if the input string is valid. An input string is valid if open brackets are closed by the same type of brackets and in the correct order.",Hard,Stack & Queue,"Uber, PayPal"
786,Number of Islands,"Given an m x n 2D binary grid which represents a map of '1's (land) and '0's (water), return the number of islands. An island is surrounded by water and is formed by connecting adjacent lands horizontally or vertically.",Hard,Graphs,"Flipkart, Apple"
787,Longest Substring Without Repeating Characters,"Given a string s, find the length of the longest substring without repeating characters. A substring is a contiguous sequence of characters within a string.",Medium,Strings,"Wipro, TCS"
788,Kth Largest Element in an Array,"Given an integer array nums and an integer k, return the kth largest element in the array. Note that it is the kth largest element in sorted order, not the kth distinct element.",Hard,Heap & Priority Queue,Uber
789,Binary Tree Level Order Traversal,"Given the root of a binary tree, return the level order traversal of its nodes' values (i.e., from left to right, level by level).",Hard,Trees,Uber
790,LRU Cache,Design a data structure that follows the constraints of a Least Recently Used (LRU) cache. Implement the LRUCache class with get and put operations in O(1) average time complexity.,Hard,HashMap,"Apple, Uber, Flipkart"
791,Trapping Rain Water,"Given n non-negative integers representing an elevation map where the width of each bar is 1, compute how much water it can trap after raining.",Hard,Arrays,Flipkart
792,Reverse Linked List,"Given the head of a singly linked list, reverse the list and return the reversed list. You must reverse the nodes themselves and not just the values.",Hard,Linked List,"Oracle, Goldman Sachs"
793,Search in Rotated Sorted Array,"There is an integer array nums sorted in ascending order (with distinct values), but possibly rotated at an unknown pivot index. Given the array nums and an integer target, return the index of target if it is in nums, or -1 otherwise.",Easy,Binary Search,Goldman Sachs
794,N-Queens,"The n-queens puzzle is the problem of placing n queens on an n×n chessboard such that no two queens attack each other. Given an integer n, return all distinct solutions to the puzzle.",Easy,Backtracking,Oracle
795,Two Sum,"Given an array of integers nums and an integer target, return indices of the two numbers such that they add up to target. You may assume that each input would have exactly one solution, and you may not use the same element twice. Return the answer in any order.",Hard,Arrays,"Apple, Oracle"
796,Trapping Rain Water,"Given n non-negative integers representing an elevation map where the width of each bar is 1, compute how much water it can trap after raining.",Hard,Arrays,"Wipro, Goldman Sachs"
797,Valid Parentheses,"Given a string s containing just the characters '(', ')', '{', '}', '[' and ']', determine if the input string is valid. An input string is valid if open brackets are closed by the same type of brackets and in the correct order.",Easy,Stack & Queue,Amazon
798,Binary Tree Level Order Traversal,"Given the root of a binary tree, return the level order traversal of its nodes' values (i.e., from left to right, level by level).",Easy,Trees,"PayPal, Meta"
799,N-Queens,"The n-queens puzzle is the problem of placing n queens on an n×n chessboard such that no two queens attack each other. Given an integer n, return all distinct solutions to the puzzle.",Easy,Backtracking,"TCS, Uber, Wipro"
800,Search in Rotated Sorted Array,"There is an integer array nums sorted in ascending order (with distinct values), but possibly rotated at an unknown pivot index. Given the array nums and an integer target, return the index of target if it is in nums, or -1 otherwise.",Easy,Binary Search,"Goldman Sachs, Adobe"
801,Reverse Linked List,"Given the head of a singly linked list, reverse the list and return the reversed list. You must reverse the nodes themselves and not just the values.",Easy,Linked List,"Meta, TCS"
802,Coin Change,"You are given an integer array coins representing coins of different denominations and an integer amount. Return the fewest number of coins needed to make up that amount. If that amount cannot be made up, return -1.",Easy,Dynamic Programming,Microsoft
803,Coin Change,"You are given an integer array coins representing coins of different denominations and an integer amount. Return the fewest number of coins needed to make up that amount. If that amount cannot be made up, return -1.",Easy,Dynamic Programming,"Apple, Amazon, Meta"
804,Longest Substring Without Repeating Characters,"Given a string s, find the length of the longest substring without repeating characters. A substring is a contiguous sequence of characters within a string.",Medium,Strings,"Amazon, Flipkart, Uber"
805,Longest Substring Without Repeating Characters,"Given a string s, find the length of the longest substring without repeating characters. A substring is a contiguous sequence of characters within a string.",Medium,Strings,"PayPal, Infosys"
806,Coin Change,"You are given an integer array coins representing coins of different denominations and an integer amount. Return the fewest number of coins needed to make up that amount. If that amount cannot be made up, return -1.",Medium,Dynamic Programming,"Flipkart, Infosys, Microsoft"
807,Binary Tree Level Order Traversal,"Given the root of a binary tree, return the level order traversal of its nodes' values (i.e., from left to right, level by level).",Medium,Trees,"Meta, Apple, TCS"
808,Kth Largest Element in an Array,"Given an integer array nums and an integer k, return the kth largest element in the array. Note that it is the kth largest element in sorted order, not the kth distinct element.",Easy,Heap & Priority Queue,"Wipro, PayPal, Goldman Sachs"
809,LRU Cache,Design a data structure that follows the constraints of a Least Recently Used (LRU) cache. Implement the LRUCache class with get and put operations in O(1) average time complexity.,Easy,HashMap,"Wipro, Uber, Microsoft"
810,Trapping Rain Water,"Given n non-negative integers representing an elevation map where the width of each bar is 1, compute how much water it can trap after raining.",Hard,Arrays,"Apple, TCS"
811,Longest Substring Without Repeating Characters,"Given a string s, find the length of the longest substring without repeating characters. A substring is a contiguous sequence of characters within a string.",Easy,Strings,"Oracle, Goldman Sachs"
812,Number of Islands,"Given an m x n 2D binary grid which represents a map of '1's (land) and '0's (water), return the number of islands. An island is surrounded by water and is formed by connecting adjacent lands horizontally or vertically.",Medium,Graphs,"Google, Amazon, Infosys"
813,N-Queens,"The n-queens puzzle is the problem of placing n queens on an n×n chessboard such that no two queens attack each other. Given an integer n, return all distinct solutions to the puzzle.",Medium,Backtracking,"Google, Infosys"
814,Two Sum,"Given an array of integers nums and an integer target, return indices of the two numbers such that they add up to target. You may assume that each input would have exactly one solution, and you may not use the same element twice. Return the answer in any order.",Easy,Arrays,"Wipro, Adobe"
815,Valid Parentheses,"Given a string s containing just the characters '(', ')', '{', '}', '[' and ']', determine if the input string is valid. An input string is valid if open brackets are closed by the same type of brackets and in the correct order.",Easy,Stack & Queue,"Adobe, Goldman Sachs, TCS"
816,Coin Change,"You are given an integer array coins representing coins of different denominations and an integer amount. Return the fewest number of coins needed to make up that amount. If that amount cannot be made up, return -1.",Hard,Dynamic Programming,Oracle
817,N-Queens,"The n-queens puzzle is the problem of placing n queens on an n×n chessboard such that no two queens attack each other. Given an integer n, return all distinct solutions to the puzzle.",Hard,Backtracking,"Flipkart, Oracle"
818,Binary Tree Level Order Traversal,"Given the root of a binary tree, return the level order traversal of its nodes' values (i.e., from left to right, level by level).",Medium,Trees,"Google, Flipkart"
819,Trapping Rain Water,"Given n non-negative integers representing an elevation map where the width of each bar is 1, compute how much water it can trap after raining.",Hard,Arrays,"Apple, Goldman Sachs"
820,Trapping Rain Water,"Given n non-negative integers representing an elevation map where the width of each bar is 1, compute how much water it can trap after raining.",Medium,Arrays,"Flipkart, PayPal"
821,Reverse Linked List,"Given the head of a singly linked list, reverse the list and return the reversed list. You must reverse the nodes themselves and not just the values.",Easy,Linked List,"Goldman Sachs, Apple"
822,Number of Islands,"Given an m x n 2D binary grid which represents a map of '1's (land) and '0's (water), return the number of islands. An island is surrounded by water and is formed by connecting adjacent lands horizontally or vertically.",Hard,Graphs,"Amazon, Wipro, Goldman Sachs"
823,Binary Tree Level Order Traversal,"Given the root of a binary tree, return the level order traversal of its nodes' values (i.e., from left to right, level by level).",Easy,Trees,"Google, Oracle, Apple"
824,Binary Tree Level Order Traversal,"Given the root of a binary tree, return the level order traversal of its nodes' values (i.e., from left to right, level by level).",Medium,Trees,"Apple, Infosys"
825,Coin Change,"You are given an integer array coins representing coins of different denominations and an integer amount. Return the fewest number of coins needed to make up that amount. If that amount cannot be made up, return -1.",Easy,Dynamic Programming,"Apple, Oracle, Infosys"
826,Longest Substring Without Repeating Characters,"Given a string s, find the length of the longest substring without repeating characters. A substring is a contiguous sequence of characters within a string.",Easy,Strings,"Adobe, Oracle"
827,Longest Substring Without Repeating Characters,"Given a string s, find the length of the longest substring without repeating characters. A substring is a contiguous sequence of characters within a string.",Medium,Strings,Uber
828,LRU Cache,Design a data structure that follows the constraints of a Least Recently Used (LRU) cache. Implement the LRUCache class with get and put operations in O(1) average time complexity.,Medium,HashMap,"Uber, Amazon"
829,N-Queens,"The n-queens puzzle is the problem of placing n queens on an n×n chessboard such that no two queens attack each other. Given an integer n, return all distinct solutions to the puzzle.",Easy,Backtracking,"TCS, Uber, Meta"
830,Coin Change,"You are given an integer array coins representing coins of different denominations and an integer amount. Return the fewest number of coins needed to make up that amount. If that amount cannot be made up, return -1.",Hard,Dynamic Programming,Apple
831,N-Queens,"The n-queens puzzle is the problem of placing n queens on an n×n chessboard such that no two queens attack each other. Given an integer n, return all distinct solutions to the puzzle.",Medium,Backtracking,Amazon
832,Trapping Rain Water,"Given n non-negative integers representing an elevation map where the width of each bar is 1, compute how much water it can trap after raining.",Hard,Arrays,"Meta, Google"
833,Binary Tree Level Order Traversal,"Given the root of a binary tree, return the level order traversal of its nodes' values (i.e., from left to right, level by level).",Easy,Trees,"Uber, Goldman Sachs"
834,N-Queens,"The n-queens puzzle is the problem of placing n queens on an n×n chessboard such that no two queens attack each other. Given an integer n, return all distinct solutions to the puzzle.",Hard,Backtracking,"Amazon, Goldman Sachs, Flipkart"
835,Coin Change,"You are given an integer array coins representing coins of different denominations and an integer amount. Return the fewest number of coins needed to make up that amount. If that amount cannot be made up, return -1.",Hard,Dynamic Programming,"Amazon, Google, Flipkart"
836,Reverse Linked List,"Given the head of a singly linked list, reverse the list and return the reversed list. You must reverse the nodes themselves and not just the values.",Easy,Linked List,"Wipro, Adobe"
837,Two Sum,"Given an array of integers nums and an integer target, return indices of the two numbers such that they add up to target. You may assume that each input would have exactly one solution, and you may not use the same element twice. Return the answer in any order.",Medium,Arrays,"TCS, Apple, Wipro"
838,Number of Islands,"Given an m x n 2D binary grid which represents a map of '1's (land) and '0's (water), return the number of islands. An island is surrounded by water and is formed by connecting adjacent lands horizontally or vertically.",Hard,Graphs,"Meta, Google, Infosys"
839,Valid Parentheses,"Given a string s containing just the characters '(', ')', '{', '}', '[' and ']', determine if the input string is valid. An input string is valid if open brackets are closed by the same type of brackets and in the correct order.",Hard,Stack & Queue,"Flipkart, Amazon"
840,Search in Rotated Sorted Array,"There is an integer array nums sorted in ascending order (with distinct values), but possibly rotated at an unknown pivot index. Given the array nums and an integer target, return the index of target if it is in nums, or -1 otherwise.",Hard,Binary Search,"Oracle, Microsoft"
841,Reverse Linked List,"Given the head of a singly linked list, reverse the list and return the reversed list. You must reverse the nodes themselves and not just the values.",Medium,Linked List,Wipro
842,Coin Change,"You are given an integer array coins representing coins of different denominations and an integer amount. Return the fewest number of coins needed to make up that amount. If that amount cannot be made up, return -1.",Hard,Dynamic Programming,"Amazon, Oracle, Meta"
843,LRU Cache,Design a data structure that follows the constraints of a Least Recently Used (LRU) cache. Implement the LRUCache class with get and put operations in O(1) average time complexity.,Easy,HashMap,"Flipkart, Oracle, PayPal"
844,Kth Largest Element in an Array,"Given an integer array nums and an integer k, return the kth largest element in the array. Note that it is the kth largest element in sorted order, not the kth distinct element.",Easy,Heap & Priority Queue,"Amazon, Goldman Sachs"
845,Reverse Linked List,"Given the head of a singly linked list, reverse the list and return the reversed list. You must reverse the nodes themselves and not just the values.",Medium,Linked List,"Uber, TCS"
846,Kth Largest Element in an Array,"Given an integer array nums and an integer k, return the kth largest element in the array. Note that it is the kth largest element in sorted order, not the kth distinct element.",Easy,Heap & Priority Queue,Google
847,Binary Tree Level Order Traversal,"Given the root of a binary tree, return the level order traversal of its nodes' values (i.e., from left to right, level by level).",Medium,Trees,Meta
848,N-Queens,"The n-queens puzzle is the problem of placing n queens on an n×n chessboard such that no two queens attack each other. Given an integer n, return all distinct solutions to the puzzle.",Medium,Backtracking,"Adobe, Flipkart"
849,Binary Tree Level Order Traversal,"Given the root of a binary tree, return the level order traversal of its nodes' values (i.e., from left to right, level by level).",Easy,Trees,"TCS, Microsoft"
850,Valid Parentheses,"Given a string s containing just the characters '(', ')', '{', '}', '[' and ']', determine if the input string is valid. An input string is valid if open brackets are closed by the same type of brackets and in the correct order.",Easy,Stack & Queue,Flipkart
851,Binary Tree Level Order Traversal,"Given the root of a binary tree, return the level order traversal of its nodes' values (i.e., from left to right, level by level).",Hard,Trees,Meta
852,Search in Rotated Sorted Array,"There is an integer array nums sorted in ascending order (with distinct values), but possibly rotated at an unknown pivot index. Given the array nums and an integer target, return the index of target if it is in nums, or -1 otherwise.",Easy,Binary Search,"Microsoft, Adobe, Apple"
853,Kth Largest Element in an Array,"Given an integer array nums and an integer k, return the kth largest element in the array. Note that it is the kth largest element in sorted order, not the kth distinct element.",Easy,Heap & Priority Queue,Goldman Sachs
854,LRU Cache,Design a data structure that follows the constraints of a Least Recently Used (LRU) cache. Implement the LRUCache class with get and put operations in O(1) average time complexity.,Medium,HashMap,Apple
855,Trapping Rain Water,"Given n non-negative integers representing an elevation map where the width of each bar is 1, compute how much water it can trap after raining.",Easy,Arrays,Infosys
856,Search in Rotated Sorted Array,"There is an integer array nums sorted in ascending order (with distinct values), but possibly rotated at an unknown pivot index. Given the array nums and an integer target, return the index of target if it is in nums, or -1 otherwise.",Medium,Binary Search,"Uber, PayPal, Adobe"
857,N-Queens,"The n-queens puzzle is the problem of placing n queens on an n×n chessboard such that no two queens attack each other. Given an integer n, return all distinct solutions to the puzzle.",Easy,Backtracking,Adobe
858,N-Queens,"The n-queens puzzle is the problem of placing n queens on an n×n chessboard such that no two queens attack each other. Given an integer n, return all distinct solutions to the puzzle.",Medium,Backtracking,"Apple, Flipkart, Uber"
859,Reverse Linked List,"Given the head of a singly linked list, reverse the list and return the reversed list. You must reverse the nodes themselves and not just the values.",Hard,Linked List,PayPal
860,LRU Cache,Design a data structure that follows the constraints of a Least Recently Used (LRU) cache. Implement the LRUCache class with get and put operations in O(1) average time complexity.,Medium,HashMap,"Wipro, Amazon"
861,Reverse Linked List,"Given the head of a singly linked list, reverse the list and return the reversed list. You must reverse the nodes themselves and not just the values.",Hard,Linked List,"PayPal, Apple"
862,LRU Cache,Design a data structure that follows the constraints of a Least Recently Used (LRU) cache. Implement the LRUCache class with get and put operations in O(1) average time complexity.,Hard,HashMap,"Amazon, Wipro, Infosys"
863,Two Sum,"Given an array of integers nums and an integer target, return indices of the two numbers such that they add up to target. You may assume that each input would have exactly one solution, and you may not use the same element twice. Return the answer in any order.",Medium,Arrays,TCS
864,Kth Largest Element in an Array,"Given an integer array nums and an integer k, return the kth largest element in the array. Note that it is the kth largest element in sorted order, not the kth distinct element.",Easy,Heap & Priority Queue,"Adobe, TCS"
865,Binary Tree Level Order Traversal,"Given the root of a binary tree, return the level order traversal of its nodes' values (i.e., from left to right, level by level).",Easy,Trees,"Amazon, Infosys"
866,Kth Largest Element in an Array,"Given an integer array nums and an integer k, return the kth largest element in the array. Note that it is the kth largest element in sorted order, not the kth distinct element.",Hard,Heap & Priority Queue,"TCS, Goldman Sachs, Meta"
867,Trapping Rain Water,"Given n non-negative integers representing an elevation map where the width of each bar is 1, compute how much water it can trap after raining.",Medium,Arrays,"Amazon, PayPal"
868,Coin Change,"You are given an integer array coins representing coins of different denominations and an integer amount. Return the fewest number of coins needed to make up that amount. If that amount cannot be made up, return -1.",Hard,Dynamic Programming,"Infosys, Uber, Adobe"
869,Binary Tree Level Order Traversal,"Given the root of a binary tree, return the level order traversal of its nodes' values (i.e., from left to right, level by level).",Hard,Trees,Apple
870,N-Queens,"The n-queens puzzle is the problem of placing n queens on an n×n chessboard such that no two queens attack each other. Given an integer n, return all distinct solutions to the puzzle.",Easy,Backtracking,"Wipro, Meta, Apple"
871,Kth Largest Element in an Array,"Given an integer array nums and an integer k, return the kth largest element in the array. Note that it is the kth largest element in sorted order, not the kth distinct element.",Easy,Heap & Priority Queue,PayPal
872,Two Sum,"Given an array of integers nums and an integer target, return indices of the two numbers such that they add up to target. You may assume that each input would have exactly one solution, and you may not use the same element twice. Return the answer in any order.",Hard,Arrays,Adobe
873,Trapping Rain Water,"Given n non-negative integers representing an elevation map where the width of each bar is 1, compute how much water it can trap after raining.",Hard,Arrays,"Flipkart, Infosys, Google"
874,N-Queens,"The n-queens puzzle is the problem of placing n queens on an n×n chessboard such that no two queens attack each other. Given an integer n, return all distinct solutions to the puzzle.",Medium,Backtracking,"Google, Infosys"
875,Number of Islands,"Given an m x n 2D binary grid which represents a map of '1's (land) and '0's (water), return the number of islands. An island is surrounded by water and is formed by connecting adjacent lands horizontally or vertically.",Medium,Graphs,TCS
876,N-Queens,"The n-queens puzzle is the problem of placing n queens on an n×n chessboard such that no two queens attack each other. Given an integer n, return all distinct solutions to the puzzle.",Medium,Backtracking,"PayPal, Adobe"
877,Search in Rotated Sorted Array,"There is an integer array nums sorted in ascending order (with distinct values), but possibly rotated at an unknown pivot index. Given the array nums and an integer target, return the index of target if it is in nums, or -1 otherwise.",Medium,Binary Search,"Goldman Sachs, Apple"
878,Kth Largest Element in an Array,"Given an integer array nums and an integer k, return the kth largest element in the array. Note that it is the kth largest element in sorted order, not the kth distinct element.",Hard,Heap & Priority Queue,"PayPal, Flipkart"
879,Reverse Linked List,"Given the head of a singly linked list, reverse the list and return the reversed list. You must reverse the nodes themselves and not just the values.",Medium,Linked List,Infosys
880,Trapping Rain Water,"Given n non-negative integers representing an elevation map where the width of each bar is 1, compute how much water it can trap after raining.",Easy,Arrays,"Amazon, Google, TCS"
881,Coin Change,"You are given an integer array coins representing coins of different denominations and an integer amount. Return the fewest number of coins needed to make up that amount. If that amount cannot be made up, return -1.",Hard,Dynamic Programming,"Meta, Adobe"
882,Trapping Rain Water,"Given n non-negative integers representing an elevation map where the width of each bar is 1, compute how much water it can trap after raining.",Easy,Arrays,"Goldman Sachs, TCS, Apple"
883,N-Queens,"The n-queens puzzle is the problem of placing n queens on an n×n chessboard such that no two queens attack each other. Given an integer n, return all distinct solutions to the puzzle.",Medium,Backtracking,Microsoft
884,Reverse Linked List,"Given the head of a singly linked list, reverse the list and return the reversed list. You must reverse the nodes themselves and not just the values.",Medium,Linked List,TCS
885,Trapping Rain Water,"Given n non-negative integers representing an elevation map where the width of each bar is 1, compute how much water it can trap after raining.",Easy,Arrays,"Google, Microsoft"
886,Search in Rotated Sorted Array,"There is an integer array nums sorted in ascending order (with distinct values), but possibly rotated at an unknown pivot index. Given the array nums and an integer target, return the index of target if it is in nums, or -1 otherwise.",Medium,Binary Search,"Microsoft, Adobe"
887,LRU Cache,Design a data structure that follows the constraints of a Least Recently Used (LRU) cache. Implement the LRUCache class with get and put operations in O(1) average time complexity.,Hard,HashMap,Oracle
888,Number of Islands,"Given an m x n 2D binary grid which represents a map of '1's (land) and '0's (water), return the number of islands. An island is surrounded by water and is formed by connecting adjacent lands horizontally or vertically.",Hard,Graphs,"Microsoft, Amazon"
889,Reverse Linked List,"Given the head of a singly linked list, reverse the list and return the reversed list. You must reverse the nodes themselves and not just the values.",Hard,Linked List,Adobe
890,Reverse Linked List,"Given the head of a singly linked list, reverse the list and return the reversed list. You must reverse the nodes themselves and not just the values.",Hard,Linked List,"Goldman Sachs, Google"
891,LRU Cache,Design a data structure that follows the constraints of a Least Recently Used (LRU) cache. Implement the LRUCache class with get and put operations in O(1) average time complexity.,Hard,HashMap,"TCS, Google"
892,Search in Rotated Sorted Array,"There is an integer array nums sorted in ascending order (with distinct values), but possibly rotated at an unknown pivot index. Given the array nums and an integer target, return the index of target if it is in nums, or -1 otherwise.",Medium,Binary Search,"Flipkart, PayPal, Goldman Sachs"
